Full Name,Identifier,FSF Free/Libre?,OSI Approved?,Deprecated As Of
ASWF Digital Assets License 1.1,ASWF-Digital-Assets-1.1,,,
Baekmuk License,Baekmuk,,,
Bahyph License,Bahyph,,,
Barr License,Barr,,,
bcrypt Solar Designer License,bcrypt-Solar-Designer,,,
Beerware License,Beerware,,,
Bitstream Charter Font License,Bitstream-Charter,,,
Bitstream Vera Font License,Bitstream-Vera,,,
BitTorrent Open Source License v1.0,BitTorrent-1.0,,,
BitTorrent Open Source License v1.1,BitTorrent-1.1,,Y,
SQLite Blessing,blessing,,,
Blue Oak Model License 1.0.0,BlueOak-1.0.0,,Y,
Boehm-Demers-Weiser GC License,Boehm-GC,,,
Boehm-Demers-Weiser GC License (without fee),Boehm-GC-without-fee,,,
Borceux license,Borceux,,,
Brian Gladman 2-Clause License,Brian-Gladman-2-Clause,,,
Brian Gladman 3-Clause License,Brian-Gladman-3-Clause,,,
BSD 1-Clause License,BSD-1-Clause,,Y,
BSD 2-Clause "Simplified" License,BSD-2-Clause,Y,Y,
BSD 2-Clause - Ian Darwin variant,BSD-2-Clause-Darwin,,,
BSD 2-Clause - first lines requirement,BSD-2-Clause-first-lines,,,
BSD 2-Clause Plus Patent License,BSD-2-Clause-Patent,,Y,
BSD 2-Clause pkgconf disclaimer variant,BSD-2-Clause-pkgconf-disclaimer,,,
BSD 2-Clause with views sentence,BSD-2-Clause-Views,,,
BSD 3-Clause "New" or "Revised" License,BSD-3-Clause,Y,Y,
BSD 3-Clause acpica variant,BSD-3-Clause-acpica,,,
BSD with attribution,BSD-3-Clause-Attribution,,,
BSD 3-Clause Clear License,BSD-3-Clause-Clear,,Y,
BSD 3-Clause Flex variant,BSD-3-Clause-flex,,,
Hewlett-Packard BSD variant license,BSD-3-Clause-HP,,,
Lawrence Berkeley National Labs BSD variant license,BSD-3-Clause-LBNL,,Y,
BSD 3-Clause Modification,BSD-3-Clause-Modification,,,
BSD 3-Clause No Military License,BSD-3-Clause-No-Military-License,,,
BSD 3-Clause No Nuclear License,BSD-3-Clause-No-Nuclear-License,,,
BSD 3-Clause No Nuclear License 2014,BSD-3-Clause-No-Nuclear-License-2014,,,
BSD 3-Clause No Nuclear Warranty,BSD-3-Clause-No-Nuclear-Warranty,,,
BSD 3-Clause Open MPI variant,BSD-3-Clause-Open-MPI,,,
BSD 3-Clause Sun Microsystems,BSD-3-Clause-Sun,,,
BSD 4-Clause "Original" or "Old" License,BSD-4-Clause,,Y,
BSD 4 Clause Shortened,BSD-4-Clause-Shortened,,,
BSD-4-Clause (University of California-Specific),BSD-4-Clause-UC,,,
BSD 4.3 RENO License,BSD-4.3RENO,,,
BSD 4.3 TAHOE License,BSD-4.3TAHOE,,,
BSD Advertising Acknowledgement License,BSD-Advertising-Acknowledgement,,,
BSD with Attribution and HPND disclaimer,BSD-Attribution-HPND-disclaimer,,,
BSD-Inferno-Nettverk,BSD-Inferno-Nettverk,,,
BSD Protection License,BSD-Protection,,,
BSD Source Code Attribution - beginning of file variant,BSD-Source-beginning-file,,,
BSD Source Code Attribution,BSD-Source-Code,,,
Systemics BSD variant license,BSD-Systemics,,,
Systemics W3Works BSD variant license,BSD-Systemics-W3Works,,,
Boost Software License 1.0,BSL-1.0,Y,Y,
Business Source License 1.1,BUSL-1.1,,,
bzip2 and libbzip2 License v1.0.6,bzip2-1.0.6,,,
Computational Use of Data Agreement v1.0,C-UDA-1.0,,,
Cryptographic Autonomy License 1.0,CAL-1.0,,Y,
Cryptographic Autonomy License 1.0 (Combined Work Exception),CAL-1.0-Combined-Work-Exception,,Y,
Caldera License,Caldera,,,
Caldera License (without preamble),Caldera-no-preamble,,,
Catharon License,Catharon,,,
Computer Associates Trusted Open Source License 1.1,CATOSL-1.1,,Y,
Creative Commons Attribution 1.0 Generic,CC-BY-1.0,,,
Creative Commons Attribution 2.0 Generic,CC-BY-2.0,,,
Creative Commons Attribution 2.5 Generic,CC-BY-2.5,,,
Creative Commons Attribution 2.5 Australia,CC-BY-2.5-AU,,,
Creative Commons Attribution 3.0 Unported,CC-BY-3.0,,,
Creative Commons Attribution 3.0 Austria,CC-BY-3.0-AT,,,
Creative Commons Attribution 3.0 Australia,CC-BY-3.0-AU,,,
Creative Commons Attribution 3.0 Germany,CC-BY-3.0-DE,,,
Creative Commons Attribution 3.0 IGO,CC-BY-3.0-IGO,,,
Creative Commons Attribution 3.0 Netherlands,CC-BY-3.0-NL,,,
Creative Commons Attribution 3.0 United States,CC-BY-3.0-US,,,
Creative Commons Attribution 4.0 International,CC-BY-4.0,,Y,
Creative Commons Public Domain Mark 1.0 Universal,CC-PDM-1.0,,,
Creative Commons Zero v1.0 Universal,CC0-1.0,Y,,
Common Development and Distribution License 1.0,CDDL-1.0,Y,Y,
Common Development and Distribution License 1.1,CDDL-1.1,,,
CeCILL Free Software License Agreement v2.0,CECILL-2.0,,Y,
CeCILL Free Software License Agreement v2.1,CECILL-2.1,,Y,
CeCILL-B Free Software License Agreement,CECILL-B,,Y,
CeCILL-C Free Software License Agreement,CECILL-C,,Y,
CERN Open Hardware Licence Version 2 - Permissive,CERN-OHL-P-2.0,,Y,
CERN Open Hardware Licence Version 2 - Strongly Reciprocal,CERN-OHL-S-2.0,,Y,
CERN Open Hardware Licence Version 2 - Weakly Reciprocal,CERN-OHL-W-2.0,,Y,
Clarified Artistic License,ClArtistic,,Y,
CNRI Python License,CNRI-Python,,Y,
Common Public Attribution License 1.0,CPAL-1.0,Y,Y,
Common Public License 1.0,CPL-1.0,Y,Y,
CUA Office Public License v1.0,CUA-OPL-1.0,,Y,
Educational Community License v1.0,ECL-1.0,,Y,
Educational Community License v2.0,ECL-2.0,Y,Y,
Eiffel Forum License v1.0,EFL-1.0,,Y,
Eiffel Forum License v2.0,EFL-2.0,Y,Y,
Entessa Public License v1.0,Entessa,,Y,
Eclipse Public License 1.0,EPL-1.0,Y,Y,
Eclipse Public License 2.0,EPL-2.0,Y,Y,
EU DataGrid Software License,EUDatagrid,Y,Y,
European Union Public License 1.1,EUPL-1.1,Y,Y,
European Union Public License 1.2,EUPL-1.2,Y,Y,
Fair License,Fair,,Y,
Frameworx Open License 1.0,Frameworx-1.0,,Y,
FSF All Permissive License,FSFAP,Y,,
FreeImage Public License v1.0,FreeImage,,,
Freetype Project License,FTL,,Y,
GNU Free Documentation License v1.1 only,GFDL-1.1-only,Y,,
GNU Free Documentation License v1.1 or later,GFDL-1.1-or-later,Y,,
GNU Free Documentation License v1.2 only,GFDL-1.2-only,Y,,
GNU Free Documentation License v1.2 or later,GFDL-1.2-or-later,Y,,
GNU Free Documentation License v1.3 only,GFDL-1.3-only,Y,,
GNU Free Documentation License v1.3 or later,GFDL-1.3-or-later,Y,,
gnuplot License,gnuplot,,Y,
GNU General Public License v2.0 only,GPL-2.0-only,Y,Y,
GNU General Public License v2.0 or later,GPL-2.0-or-later,Y,Y,
GNU General Public License v3.0 only,GPL-3.0-only,Y,Y,
GNU General Public License v3.0 or later,GPL-3.0-or-later,Y,Y,
Historical Permission Notice and Disclaimer,HPND,Y,Y,
ICU License,ICU,Y,,
Independent JPEG Group License,IJG,Y,,
iMatix Standard Function Library Agreement,iMatix,,Y,
Imlib2 License,Imlib2,,Y,
Intel Open Source License,Intel,Y,Y,
IPA Font License,IPA,Y,Y,
IBM Public License v1.0,IPL-1.0,Y,Y,
ISC License,ISC,Y,Y,
Jam License,Jam,,Y,
GNU Library General Public License v2 only,LGPL-2.0-only,Y,,
GNU Library General Public License v2 or later,LGPL-2.0-or-later,Y,,
GNU Lesser General Public License v2.1 only,LGPL-2.1-only,Y,Y,
GNU Lesser General Public License v2.1 or later,LGPL-2.1-or-later,Y,Y,
GNU Lesser General Public License v3.0 only,LGPL-3.0-only,Y,Y,
GNU Lesser General Public License v3.0 or later,LGPL-3.0-or-later,Y,Y,
Licence Libre du Québec – Permissive version 1.1,LiLiQ-P-1.1,,Y,
Licence Libre du Québec – Réciprocité version 1.1,LiLiQ-R-1.1,,Y,
Licence Libre du Québec – Réciprocité forte version 1.1,LiLiQ-Rplus-1.1,,Y,
Lucent Public License Version 1.0,LPL-1.0,,Y,
Lucent Public License v1.02,LPL-1.02,Y,Y,
LaTeX Project Public License v1.2,LPPL-1.2,,Y,
LaTeX Project Public License v1.3a,LPPL-1.3a,,Y,
LaTeX Project Public License v1.3c,LPPL-1.3c,,Y,
MirOS Licence,MirOS,Y,,
MIT License,MIT,Y,Y,
MIT License Modern Variant,MIT-Modern-Variant,,Y,
Motosoto License,Motosoto,,Y,
Mozilla Public License 1.0,MPL-1.0,,Y,
Mozilla Public License 1.1,MPL-1.1,Y,Y,
Mozilla Public License 2.0,MPL-2.0,Y,Y,
Mozilla Public License 2.0 (no copyleft exception),MPL-2.0-no-copyleft-exception,,Y,
Microsoft Public License,MS-PL,Y,Y,
Microsoft Reciprocal License,MS-RL,Y,Y,
Mulan Permissive Software License Version 2,MulanPSL-2.0,,Y,
Multics License,Multics,Y,,
NASA Open Source Agreement 1.3,NASA-1.3,,Y,
Naumen Public License,Naumen,,Y,
University of Illinois/NCSA Open Source License,NCSA,Y,Y,
Nokia Open Source License,Nokia,Y,Y,
Netscape Public License v1.0,NPL-1.0,,Y,
Netscape Public License v1.1,NPL-1.1,,Y,
Non-Profit Open Software License 3.0,NPOSL-3.0,,Y,
NTP License,NTP,Y,,
OCLC Research Public License 2.0,OCLC-2.0,,Y,
Open Data Commons Open Database License v1.0,ODbL-1.0,,Y,
SIL Open Font License 1.0,OFL-1.0,,Y,
SIL Open Font License 1.1,OFL-1.1,Y,Y,
SIL Open Font License 1.1 with no Reserved Font Name,OFL-1.1-no-RFN,,Y,
Open LDAP Public License v2.3,OLDAP-2.3,,Y,
Open LDAP Public License v2.7,OLDAP-2.7,,Y,
Open LDAP Public License v2.8,OLDAP-2.8,,Y,
Open Logistics Foundation License Version 1.3,OLFL-1.3,,Y,
OpenSSL License,OpenSSL,Y,,
OSET Public License version 2.1,OSET-PL-2.1,,Y,
Open Software License 1.0,OSL-1.0,Y,Y,
Open Software License 1.1,OSL-1.1,,Y,
Open Software License 2.0,OSL-2.0,Y,Y,
Open Software License 2.1,OSL-2.1,Y,Y,
Open Software License 3.0,OSL-3.0,Y,Y,
PHP License v3.0,PHP-3.0,,Y,
PHP License v3.01,PHP-3.01,Y,Y,
PostgreSQL License,PostgreSQL,Y,,
Python License 2.0,Python-2.0,Y,Y,
Q Public License 1.0,QPL-1.0,Y,Y,
Reciprocal Public License 1.1,RPL-1.1,,Y,
Reciprocal Public License 1.5,RPL-1.5,,Y,
RealNetworks Public Source License v1.0,RPSL-1.0,Y,Y,
Ruby License,Ruby,Y,,
SGI Free Software License B v2.0,SGI-B-2.0,,Y,
Simple Public License 2.0,SimPL-2.0,,Y,
Sun Industry Standards Source License v1.1,SISSL,Y,Y,
Sleepycat License,Sleepycat,Y,Y,
Standard ML of New Jersey License,SMLNJ,Y,,
Sun Public License v1.0,SPL-1.0,Y,Y,
Unicode License v3,Unicode-3.0,Y,,
Unicode License Agreement - Data Files and Software (2016),Unicode-DFS-2016,,Y,
The Unlicense,Unlicense,Y,Y,
Universal Permissive License v1.0,UPL-1.0,Y,Y,
Vim License,Vim,Y,,
Vovida Software License v1.0,VSL-1.0,,Y,
W3C Software Notice and License (2002-12-31),W3C,Y,Y,
W3C Software Notice and Document License (2015-05-13),W3C-20150513,,Y,
Sybase Open Watcom Public License 1.0,Watcom-1.0,,Y,
X11 License,X11,,Y,
XFree86 License 1.1,XFree86-1.1,,Y,
X.Net License,Xnet,,Y,
Zend License v2.0,Zend-2.0,,Y,
Zimbra Public License v1.3,Zimbra-1.3,,Y,
Zimbra Public License v1.4,Zimbra-1.4,,Y,
zlib License,Zlib,Y,Y,
Zope Public License 2.0,ZPL-2.0,Y,Y,
Zope Public License 2.1,ZPL-2.1,Y,Y,
Affero General Public License v1.0,AGPL-1.0,,,3.1
GNU Affero General Public License v3.0,AGPL-3.0,,,3.0
BSD 2-Clause FreeBSD License,BSD-2-Clause-FreeBSD,,,3.10
BSD 2-Clause NetBSD License,BSD-2-Clause-NetBSD,,,3.9
bzip2 and libbzip2 License v1.0.5,bzip2-1.0.5,,,3.16
eCos license version 2.0,eCos-2.0,,,2.0rc2
GNU Free Documentation License v1.1,GFDL-1.1,,,3.0
GNU Free Documentation License v1.2,GFDL-1.2,,,3.0
GNU Free Documentation License v1.3,GFDL-1.3,,,3.0
GNU General Public License v1.0 only,GPL-1.0,,,3.0
GNU General Public License v1.0 or later,GPL-1.0+,,,2.0rc2
GNU General Public License v2.0 only,GPL-2.0,,,3.0
GNU General Public License v2.0 or later,GPL-2.0+,,,2.0rc2
GNU General Public License v2.0 w/Autoconf exception,GPL-2.0-with-autoconf-exception,,,2.0rc2
GNU General Public License v2.0 w/Bison exception,GPL-2.0-with-bison-exception,,,2.0rc2
GNU General Public License v2.0 w/Classpath exception,GPL-2.0-with-classpath-exception,,,2.0rc2
GNU General Public License v2.0 w/Font exception,GPL-2.0-with-font-exception,,,2.0rc2
GNU General Public License v2.0 w/GCC Runtime Library exception,GPL-2.0-with-GCC-exception,,,2.0rc2
GNU General Public License v3.0 only,GPL-3.0,,,3.0
